프로그램 개발 알바 일지(시급 11,000원)                        누적합계
2025-01-16(목) -> 20:00 ~ 22:00 (2시간)                                   2.0       
2025-01-17(금) -> 20:00 ~ 22:00 (2시간)                                   4.0 
2025-01-18(토) -> 08:30 ~ 12:30 (4시간)                                   8.0
2025-01-20(월) -> 20:00 ~ 22:30 (2.5시간)                                 10.5
2025-01-21(화) -> 20:00 ~ 22:30 (2.5시간)                                 13.0
2025-01-22(수) -> 20:00 ~ 23:30 (3.5시간)                                 16.5
2025-01-23(목) -> 21:00 ~ 23:00 (2시간)                                   18.5
2025-01-26(일) -> 14:00 ~ 18:00 (4시간)                                   22.5
2025-01-27(월) -> 09:00 ~ 18:00 (8시간)-쉬는시간 1시간             30.5
2025-01-30(목) -> 20:00 ~ 22:00 (3시간)                                   33.5
2025-01-31(금) -> 21:10 ~ 22:40 (1.5시간)                                 35.0
------------------------------------------------------------------------------------------------
프로그램 개발 알바 일지(시급 12,000원)                        누적합계
2025-02-03(월) -> 20:00 ~ 23:30 (3.5시간)                                 3.5
2025-02-04(화) -> 20:00 ~ 23:30 (3.5시간)                                 7.0
2025-02-05(수) -> 20:00 ~ 23:30 (3.5시간)                                 10.5
2025-02-06(목) -> 21:00 ~ 24:00 (3.0시간)				  13.5
2025-02-07(금) -> 20:30 ~ 24:00 (3.5시간)				  17.0
2025-02-10(월) -> 20:30 ~ 24:00 (3.5시간)                                  20.5
2025-02-11(화) -> 20:30 ~ 24:00 (3.5시간)                                  24.0
2025-02-12(수) -> 20:00 ~ 24:00 (4.0시간)                                  28.0
2025-02-13(목) -> 20:00 ~ 24:00 (4.0시간)                                  32.0
2025-02-14(금) -> 20:00 ~ 24:00 (4.0시간)                                  36.0
2025-02-17(월) -> 20:00 ~ 24:00 (4.0시간)                                  40.0
2025-02-18(화) -> 20:00 ~ 23:30 (3.5시간)                                  43.5
2025-02-19(수) -> 20:00 ~ 24:00 (4.0시간)                                  47.5
2025-02-20(목) -> 20:00 ~ 24:00 (4.0시간)                                  51.5
2025-02-21(금) -> 20:00 ~ 24:00 (4.0시간)                                  55.5
2025-02-24(월) -> 20:00 ~ 24:00 (4.0시간)                                  59.5
2025-02-25(화) -> 20:00 ~ 24:30 (4.5시간)                                  64.0
